ID,Овог нэр,Мэргэжил,Төрсөн өдөр,Танилцуулга,BirthYear
1076,Tim Curry,Жүжигчин,1980-05-12 00:00:00,,1980
1077,Kira Tozer,Жүжигчин,1973-08-13 00:00:00,,1973
1078,Conrad Helten,Найруулагч,1943-08-06 00:00:00,,1943
1079,Chiara Zanni,Жүжигчин,1944-08-19 00:00:00,,1944
1080,Tabitha St Germain,Жүжигчин,1980-09-04 00:00:00,,1980
1081,Kathleen Barr,Жүжигчин,1940-04-15 00:00:00,,1940
1082,Ezekiel Norton,Найруулагч,1942-10-17 00:00:00,,1942
1083,Steve Granat,Жүжигчин,1954-06-18 00:00:00,,1954
1084,Cydne Clark,Жүжигчин,1998-05-10 00:00:00,,1998
1085,Jay Oliva,Найруулагч,1970-04-16 00:00:00,,1970
1086,Peter Weller,Жүжигчин,1986-10-31 00:00:00,,1986
1087,Ariel Winter,Жүжигчин,1967-03-01 00:00:00,,1967
1088,Sam Liu,Найруулагч,1951-06-05 00:00:00,,1951
1089,Lauren Montgomery,Найруулагч,1964-06-30 00:00:00,,1964
1090,Ben McKenzie,Жүжигчин,1946-01-20 00:00:00,,1946
1091,Sebastian O Montes,Найруулагч,1990-11-02 00:00:00,,1990
1092,Scooter Tidwell,Найруулагч,1952-02-11 00:00:00,,1952
1093,Tara Strong,Жүжигчин,1964-11-03 00:00:00,,1964
1094,Paul Eiding,Жүжигчин,2004-09-06 00:00:00,,2004
1095,Meagan Smith,Жүжигчин,1979-01-26 00:00:00,,1979
1096,Darren Aronofsky,Найруулагч,1970-04-07 00:00:00,,1970
1097,Natalie Portman,Жүжигчин,1975-11-03 00:00:00,,1975
1098,Mila Kunis,Жүжигчин,1991-10-01 00:00:00,,1991
1099,Mucci Fassett,Найруулагч,1956-10-17 00:00:00,,1956
1100,Britt mckillip,Жүжигчин,1982-01-01 00:00:00,,1982
1101,Brittany Wilson,Жүжигчин,1997-08-06 00:00:00,,1997
1102,Ashleigh Ball,Жүжигчин,1977-10-12 00:00:00,,1977
1103,Sean McNamara,Найруулагч,1969-06-21 00:00:00,,1969
1104,Dorla Bell,Жүжигчин,1949-07-30 00:00:00,,1949
1105,Ian James Corlett,Жүжигчин,1956-05-21 00:00:00,,1956
1106,Olivia Hack,Жүжигчин,2002-06-09 00:00:00,,2002
1107,Soleil Moon-Frye,Жүжигчин,1975-09-22 00:00:00,,1975
1108,Tia Mowry,Жүжигчин,1959-11-21 00:00:00,,1959
1109,Mel Gibson,Найруулагч,1967-08-12 00:00:00,,1967
1110,Patrick McGoohan,Жүжигчин,1978-02-24 00:00:00,,1978
1111,Jake Gyllenhaal,Жүжигчин,1975-06-24 00:00:00,,1975
1112,Heath Ledger,Жүжигчин,1986-03-09 00:00:00,,1986
1113,Joe Johnston,Найруулагч,1956-12-29 00:00:00,,1956
1115,Hugo Weaving,Жүжигчин,1982-11-07 00:00:00,,1982
1117,John Lasseter,Найруулагч,1969-03-20 00:00:00,,1969
1118,Joe Ranft,Найруулагч,2002-01-29 00:00:00,,2002
1119,Owen Wilson,Жүжигчин,1950-06-04 00:00:00,,1950
1120,Bonnie Hunt,Жүжигчин,1949-10-18 00:00:00,,1949
1121,Brad Lewis,Найруулагч,1970-06-21 00:00:00,,1970
1122,Larry the Cable Guy,Жүжигчин,1973-07-20 00:00:00,,1973
1123,Martin Campbell,Найруулагч,1985-08-06 00:00:00,,1985
1124,Daniel Craig,Жүжигчин,1966-09-01 00:00:00,,1966
1125,Eva Green,Жүжигчин,2000-04-21 00:00:00,,2000
1126,Judi Dench,Жүжигчин,1971-04-18 00:00:00,,1971
1127,Jennifer Chambers Lynch,Найруулагч,1948-07-14 00:00:00,,1948
1128,Vincent D'Onofrio,Жүжигчин,1947-11-13 00:00:00,,1947
1129,Eamon Farren,Жүжигчин,2004-03-30 00:00:00,,2004
1130,Evan Bird,Жүжигчин,1948-11-06 00:00:00,,1948
1131,Bradley Parker,Найруулагч,2002-07-23 00:00:00,,2002
1132,Jesse McCartney,Жүжигчин,1958-05-09 00:00:00,,1958
1133,Jonathan Sadowski,Жүжигчин,1946-03-01 00:00:00,,1946
1134,Olivia Dudley,Жүжигчин,1960-02-10 00:00:00,,1960
1135,Peter Lord,Найруулагч,1980-07-27 00:00:00,,1980
1136,Nick Park,Найруулагч,1968-03-29 00:00:00,,1968
1137,Phil Daniels,Жүжигчин,1991-11-06 00:00:00,,1991
1138,Lynn Ferguson,Жүжигчин,1980-04-29 00:00:00,,1980
1139,Gregory Poppen,Найруулагч,1966-06-14 00:00:00,,1966
1140,Tom Arnold,Жүжигчин,1981-11-20 00:00:00,,1981
1141,C Thomas Howell,Жүжигчин,2004-02-13 00:00:00,,2004
1142,Alastair Fothergill,Найруулагч,1967-03-07 00:00:00,,1967
1143,Mark Linfield,Найруулагч,1950-02-16 00:00:00,,1950
1144,Tim Allen,Найруулагч,1966-12-24 00:00:00,,1966
1145,Laura Weissbecker,Жүжигчин,1995-06-13 00:00:00,,1995
1146,Oliver Platt,Жүжигчин,1954-05-13 00:00:00,,1954
1147,Pascal Herold,Найруулагч,2002-08-23 00:00:00,,2002
1148,Alexandra Lamy,Жүжигчин,1978-10-30 00:00:00,,1978
1149,Yolande Moreau,Жүжигчин,1979-09-15 00:00:00,,1979
1150,Tom Tykwer,Найруулагч,1960-12-03 00:00:00,,1960
1151,Tom Hanks,Жүжигчин,2000-10-01 00:00:00,,2000
1152,Halle Berry,Жүжигчин,1942-05-19 00:00:00,,1942
1153,Hugh Grant,Жүжигчин,1959-09-18 00:00:00,,1959
1154,Kevin Costner,Найруулагч,1967-08-13 00:00:00,,1967
1155,Mary McDonnell,Жүжигчин,1971-07-02 00:00:00,,1971
1156,Graham Greene,Жүжигчин,1971-04-17 00:00:00,,1971
1157,Paul W S Anderson,Найруулагч,1949-10-06 00:00:00,,1949
1158,Jason Statham,Жүжигчин,1967-07-26 00:00:00,,1967
1159,Joan Allen,Жүжигчин,1954-11-21 00:00:00,,1954
1160,Ian McShane,Жүжигчин,1946-04-15 00:00:00,,1946
1161,Roel Reine,Найруулагч,1977-10-13 00:00:00,,1977
1162,Luke Goss,Жүжигчин,1963-02-27 00:00:00,,1963
1163,Lauren Cohan,Жүжигчин,1977-05-05 00:00:00,,1977
1164,Sean Bean,Жүжигчин,1978-12-03 00:00:00,,1978
1165,Tanit Phoenix,Жүжигчин,1986-05-02 00:00:00,,1986
1166,Danny Trejo,Жүжигчин,1976-02-08 00:00:00,,1976
1167,Nikhil Advani,Найруулагч,1982-10-07 00:00:00,,1982
1168,Cary Elwes,Жүжигчин,1978-10-02 00:00:00,,1978
1169,Troy Baker,Жүжигчин,1983-01-23 00:00:00,,1983
1170,Jane Lynch,Жүжигчин,1980-09-12 00:00:00,,1980
1171,Yoon-suk Choi,Найруулагч,1960-11-13 00:00:00,,1960
1172,John Kafka,Найруулагч,1956-04-03 00:00:00,,1956
1173,Rob Schneider,Жүжигчин,1991-12-21 00:00:00,,1991
1174,Pamela Adlon,Жүжигчин,1962-08-14 00:00:00,,1962
1175,Ángel Izquierdo,Найруулагч,1976-03-30 00:00:00,,1976
1176,Robert Paterson,Жүжигчин,1952-12-31 00:00:00,,1952
1177,Todd Phillips,Найруулагч,1968-06-22 00:00:00,,1968
1178,Robert Downey Jr,Жүжигчин,1974-12-16 00:00:00,,1974
1179,Zach Galifianakis,Жүжигчин,1981-04-26 00:00:00,,1981
1180,Mark Wu,Найруулагч,1974-09-28 00:00:00,,1974
1181,Justin Cheung,Жүжигчин,1963-10-21 00:00:00,,1963
1182,Gregory Wong,Жүжигчин,2003-06-24 00:00:00,,2003
1183,Eduardo Rodriguez,Найруулагч,1973-11-03 00:00:00,,1973
1184,Scott Adkins,Жүжигчин,1993-05-07 00:00:00,,1993
1185,Petar Bachvarov,Жүжигчин,1988-08-15 00:00:00,,1988
1186,Cal Brunker,Найруулагч,1976-11-06 00:00:00,,1976
1187,Brendan Fraser,Жүжигчин,1998-07-03 00:00:00,,1998
1188,Rob Corddry,Жүжигчин,1948-06-19 00:00:00,,1948
1189,Jessica Alba,Жүжигчин,2000-10-15 00:00:00,,2000
1190,Richard Bates Jr,Найруулагч,1996-02-12 00:00:00,,1996
1191,AnnaLynne McCord,Жүжигчин,1973-03-29 00:00:00,,1973
1192,Traci Lords,Жүжигчин,1988-05-27 00:00:00,,1988
1193,Mark A Z Dippé,Найруулагч,1974-05-04 00:00:00,,1974
1194,Kyung Ho Lee,Найруулагч,1957-09-27 00:00:00,,1957
1195,Frank Welker,Жүжигчин,1992-10-16 00:00:00,,1992
1196,Rajia Baroudi,Жүжигчин,1956-03-25 00:00:00,,1956
1197,Gregg Berger,Жүжигчин,1960-10-02 00:00:00,,1960
1198,Ridley Scott,Найруулагч,1974-04-10 00:00:00,,1974
1199,Russell Crowe,Жүжигчин,1995-04-08 00:00:00,,1995
1200,Joaquin Phoenix,Жүжигчин,1974-10-28 00:00:00,,1974
1201,Iginio Straffi,Найруулагч,1965-05-04 00:00:00,,1965
1202,Luca Argentero,Жүжигчин,1972-08-12 00:00:00,,1972
1203,Laura Chiatti,Жүжигчин,1942-10-01 00:00:00,,1942
1204,Julianne Hough,Жүжигчин,1947-08-24 00:00:00,,1947
1205,Kelly Asbury,Найруулагч,1943-09-10 00:00:00,,1943
1206,James McAvoy,Жүжигчин,1944-10-03 00:00:00,,1944
1207,Emily Blunt,Жүжигчин,1997-04-28 00:00:00,,1997
1208,Ashley Jensen,Жүжигчин,1995-07-28 00:00:00,,1995
1209,Chris Gifford,Найруулагч,1994-03-31 00:00:00,,1994
1210,Jake T Austin,Жүжигчин,1943-09-01 00:00:00,,1943
1211,Gabriela Aisenberg,Жүжигчин,1945-02-14 00:00:00,,1945
1212,Koji Yakusho,Жүжигчин,1958-07-09 00:00:00,,1958
1213,Naoto Takenaka,Жүжигчин,1977-04-23 00:00:00,,1977
1214,Ron Clements,Найруулагч,1962-01-19 00:00:00,,1962
1215,Tate Donovan,Жүжигчин,1972-03-06 00:00:00,,1972
1216,Josh Keaton,Жүжигчин,1951-06-02 00:00:00,,1951
1217,James Woods,Жүжигчин,1988-03-25 00:00:00,,1988
1218,Ron Underwood,Найруулагч,1960-09-19 00:00:00,,1960
1219,Melissa Joan Hart,Жүжигчин,1944-05-23 00:00:00,,1944
1220,Mario Lopez,Жүжигчин,1989-01-07 00:00:00,,1989
1221,Chris Columbus,Найруулагч,1999-08-02 00:00:00,,1999
1222,Macaulay Culkin,Жүжигчин,1940-12-19 00:00:00,,1940
1223,Joe Pesci,Жүжигчин,1968-10-26 00:00:00,,1968
1224,Daniel Stern,Жүжигчин,1994-08-05 00:00:00,,1994
1225,Raja Gosnell,Найруулагч,1986-08-10 00:00:00,,1986
1226,Alex D Linz,Жүжигчин,1996-07-13 00:00:00,,1996
1227,Olek Krupa,Жүжигчин,1967-05-28 00:00:00,,1967
1228,Rya Kihlstedt,Жүжигчин,1964-07-27 00:00:00,,1964
1229,Will Finn,Найруулагч,1986-10-22 00:00:00,,1986
1230,John Sanford,Найруулагч,1950-02-20 00:00:00,,1950
1231,Cuba Gooding Jr,Жүжигчин,1955-10-20 00:00:00,,1955
1232,Jennifer Tilly,Жүжигчин,1979-08-28 00:00:00,,1979
1233,Seth Gordon,Найруулагч,1984-02-13 00:00:00,,1984
1234,Jason Bateman,Жүжигчин,1947-11-24 00:00:00,,1947
1235,Charlie Day,Жүжигчин,1973-07-19 00:00:00,,1973
1236,Jason Sudeikis,Жүжигчин,1964-02-01 00:00:00,,1964
1237,Jimmy Hayward,Найруулагч,1973-02-11 00:00:00,,1973
1238,Steve Martino,Найруулагч,2003-04-04 00:00:00,,2003
1239,Steve Carell,Жүжигчин,1945-01-20 00:00:00,,1945
1240,Carol Burnett,Жүжигчин,2005-09-13 00:00:00,,2005
1241,Hayao Miyazaki,Найруулагч,1969-09-02 00:00:00,,1969
1244,Steven R Monroe,Найруулагч,1990-12-17 00:00:00,,1990
1245,Sarah Butler,Жүжигчин,1968-01-06 00:00:00,,1968
1246,Jeff Branson,Жүжигчин,1960-07-10 00:00:00,,1960
1247,Andrew Howard,Жүжигчин,1990-11-10 00:00:00,,1990
1248,Carlos Saldanha,Найруулагч,1985-05-21 00:00:00,,1985
1249,Ray Romano,Жүжигчин,1949-07-04 00:00:00,,1949
1250,John Leguizamo,Жүжигчин,1986-07-23 00:00:00,,1986
1251,Denis Leary,Жүжигчин,1989-09-14 00:00:00,,1989
1252,Mike Thurmeier,Найруулагч,1965-08-06 00:00:00,,1965
1253,Reinhard Klooss,Найруулагч,2001-02-03 00:00:00,,2001
1254,Holger Tappe,Найруулагч,1982-04-19 00:00:00,,1982
1255,Anke Engelke,Жүжигчин,1962-01-07 00:00:00,,1962
1256,Oliver Kalkofe,Жүжигчин,1940-09-15 00:00:00,,1940
1257,Wigald Boning,Жүжигчин,1984-07-19 00:00:00,,1984
1258,Perry Bhandal,Найруулагч,1953-10-18 00:00:00,,1953
1259,Caroline Tillette,Жүжигчин,1989-12-06 00:00:00,,1989
1260,Juan Carlos Fresnadillo,Найруулагч,1974-08-28 00:00:00,,1974
1261,Clive Owen,Жүжигчин,1970-10-21 00:00:00,,1970
1262,Carice van Houten,Жүжигчин,1950-10-22 00:00:00,,1950
1263,Hiroshi Hamazaki,Найруулагч,1986-12-17 00:00:00,,1986
1264,Norman Reedus,Жүжигчин,1950-12-13 00:00:00,,1950
1265,Matthew Mercer,Жүжигчин,1967-07-28 00:00:00,,1967
1266,Eric Bauza,Жүжигчин,1995-03-13 00:00:00,,1995
1267,Brad Peyton,Найруулагч,2000-09-29 00:00:00,,2000
1268,Josh Hutcherson,Жүжигчин,2005-04-14 00:00:00,,2005
1269,Dwayne Johnson,Жүжигчин,2003-03-25 00:00:00,,2003
1270,Boudewijn Koole,Найруулагч,1976-09-10 00:00:00,,1976
1271,Rick Lens,Жүжигчин,1953-03-25 00:00:00,,1953
1272,Loek Peters,Жүжигчин,1995-05-19 00:00:00,,1995
1273,Saul Blinkoff,Найруулагч,1992-11-27 00:00:00,,1992
1274,Elliot M Bour,Найруулагч,2005-05-12 00:00:00,,2005
1275,Patrick Warburton,Жүжигчин,1982-12-18 00:00:00,,1982
1276,Tracey Ullman,Жүжигчин,1949-05-06 00:00:00,,1949
1277,Eartha Kitt,Жүжигчин,1973-03-11 00:00:00,,1973
1278,Jennifer Yuh,Найруулагч,1969-08-01 00:00:00,,1969
1279,Jack Black,Жүжигчин,1995-08-20 00:00:00,,1995
1280,Angelina Jolie,Жүжигчин,1975-06-04 00:00:00,,1975
1281,Dustin Hoffman,Жүжигчин,1965-11-28 00:00:00,,1965
1282,Zack Snyder,Найруулагч,1961-09-08 00:00:00,,1961
1283,John Sturgess,Жүжигчин,1945-04-13 00:00:00,,1945
1284,David Wehnam,Жүжигчин,1995-02-21 00:00:00,,1995
1285,Tony Craig,Найруулагч,1989-11-07 00:00:00,,1989
1286,Roberts Gannaway,Найруулагч,1942-09-20 00:00:00,,1942
1287,Daveigh Chase,Жүжигчин,1968-08-18 00:00:00,,1968
1288,Chris Sanders,Найруулагч,1971-08-30 00:00:00,,1971
1289,David Ogden Stiers,Жүжигчин,1970-12-23 00:00:00,,1970
1290,Er Cheng,Найруулагч,2000-08-25 00:00:00,,2000
1291,Dahong Ni,Жүжигчин,1949-12-11 00:00:00,,1949
1292,Honglei Sun,Жүжигчин,1960-03-21 00:00:00,,1960
1293,Luodan Wang,Жүжигчин,1951-12-10 00:00:00,,1951
1294,Mark Dindal,Найруулагч,1956-02-10 00:00:00,,1956
1295,Zach Braff,Найруулагч,1999-11-14 00:00:00,,1999
1296,Garry Marshall,Найруулагч,2002-02-01 00:00:00,,2002
1297,Don Knotts,Жүжигчин,1942-12-12 00:00:00,,1942
1298,Callie Khouri,Найруулагч,1981-09-19 00:00:00,,1981
1299,Diane Keaton,Жүжигчин,1955-05-15 00:00:00,,1955
1300,Queen Latifah,Жүжигчин,1952-09-16 00:00:00,,1952
1301,Katie Holmes,Жүжигчин,1959-04-11 00:00:00,,1959
1302,Asger Leth,Найруулагч,1952-10-30 00:00:00,,1952
1303,Sam Worthington,Жүжигчин,1972-05-09 00:00:00,,1972
1304,Elizabeth Banks,Найруулагч,2005-09-17 00:00:00,,2005
1305,Simon Wells,Найруулагч,1978-09-15 00:00:00,,1978
1306,Seth Green,Жүжигчин,1987-09-26 00:00:00,,1987
1307,Dan Fogler,Жүжигчин,1972-07-22 00:00:00,,1972
1308,Joan Cusack,Жүжигчин,1940-12-01 00:00:00,,1940
1309,Pete Docter,Найруулагч,1945-07-20 00:00:00,,1945
1310,Billy Crystal,Жүжигчин,1957-09-29 00:00:00,,1957
1311,Mary Gibbs,Жүжигчин,1956-01-31 00:00:00,,1956
1312,Mark Waters,Найруулагч,1995-06-24 00:00:00,,1995
1313,Carla Gugino,Жүжигчин,1995-09-05 00:00:00,,1995
1314,Richard Rich,Найруулагч,1996-05-16 00:00:00,,1996
1315,Eli Allem,Жүжигчин,1982-01-30 00:00:00,,1982
1316,Nicholas Kadi,Жүжигчин,1976-09-15 00:00:00,,1976
1317,Julia Max,Жүжигчин,1982-11-05 00:00:00,,1982
1318,Kajol,Жүжигчин,1966-11-06 00:00:00,,1966
1319,Ethan Coen,Найруулагч,1984-03-26 00:00:00,,1984
1320,Joel Coen,Найруулагч,1992-06-07 00:00:00,,1992
1321,Tommy Lee Jones,Жүжигчин,1990-05-09 00:00:00,,1990
1322,Javier Bardem,Жүжигчин,1980-07-06 00:00:00,,1980
1323,Josh Brolin,Жүжигчин,1943-11-01 00:00:00,,1943
1324,Charlie Bewley,Жүжигчин,1987-11-06 00:00:00,,1987
1325,Alan Cumming,Жүжигчин,1964-03-12 00:00:00,,1964
1326,Wuershan,Найруулагч,1989-01-30 00:00:00,,1989
1327,Wei Zhao,Жүжигчин,1975-08-11 00:00:00,,1975
1328,Tod Williams,Найруулагч,1998-02-27 00:00:00,,1998
1329,David Bierend,Жүжигчин,1962-05-04 00:00:00,,1962
1330,Molly Ephraim,Жүжигчин,2001-06-22 00:00:00,,2001
1331,Henry Joost,Найруулагч,1995-09-26 00:00:00,,1995
1332,Ariel Schulman,Найруулагч,1961-11-07 00:00:00,,1961
1333,Stephen Dunham,Жүжигчин,1971-11-07 00:00:00,,1971
1334,Katie Featherston,Жүжигчин,1975-01-26 00:00:00,,1975
1335,Matt Shively,Жүжигчин,1990-09-24 00:00:00,,1990
1336,Chris Butler,Найруулагч,1985-06-26 00:00:00,,1985
1337,Sam Fell,Найруулагч,1996-03-26 00:00:00,,1996
1338,Kodi Smit-McPhee,Жүжигчин,1964-05-30 00:00:00,,1964
1340,Christopher Mintz-Plasse,Жүжигчин,1973-04-26 00:00:00,,1973
1341,José Luis Massa,Найруулагч,1968-06-08 00:00:00,,1968
1342,Norma Aleandro,Жүжигчин,2000-01-12 00:00:00,,2000
1343,Julián Weich,Жүжигчин,1960-02-17 00:00:00,,1960
1344,Lucila Gómez,Жүжигчин,1978-10-01 00:00:00,,1978
1345,Greg Mottola,Найруулагч,1947-12-06 00:00:00,,1947
1346,Simon Pegg,Зохиолч,1996-02-13 00:00:00,,1996
1347,Nick Frost,Жүжигчин,1965-05-11 00:00:00,,1965
1348,Michael Bay,Найруулагч,1962-06-24 00:00:00,,1962
1349,Josh Hartnett,Жүжигчин,1978-06-22 00:00:00,,1978
1350,Kate Beckinsale,Жүжигчин,1972-12-02 00:00:00,,1972
1351,Tomoko Yamaguchi,Жүжигчин,1995-12-20 00:00:00,,1995
1352,Cate Blanchett,Жүжигчин,1975-01-27 00:00:00,,1975
1353,Brad Bird,Найруулагч,1974-02-14 00:00:00,,1974
1354,Jan Pinkava,Найруулагч,1946-12-05 00:00:00,,1946
1355,Brad Garrett,Жүжигчин,1941-06-12 00:00:00,,1941
1356,Lou Romano,Жүжигчин,1966-04-21 00:00:00,,1966
1357,Patton Oswalt,Жүжигчин,2005-11-18 00:00:00,,2005
1358,Thierry Schiel,Найруулагч,2000-07-18 00:00:00,,2000
1359,Lorant Deutsch,Жүжигчин,1981-07-06 00:00:00,,1981
1360,Milla Jovovich,Жүжигчин,1981-08-20 00:00:00,,1981
1361,Ali Larter,Жүжигчин,1965-11-02 00:00:00,,1965
1362,Wentworth Miller,Жүжигчин,1951-09-19 00:00:00,,1951
1363,Karen Disher,Найруулагч,1940-07-25 00:00:00,,1940
1364,Jesse Eisenberg,Жүжигчин,1962-05-13 00:00:00,,1962
1365,Anne Hathaway,Жүжигчин,1960-11-20 00:00:00,,1960
1366,Chris Wedge,Найруулагч,1952-08-23 00:00:00,,1952
1367,Ewan McGregor,Жүжигчин,1957-02-07 00:00:00,,1957
1368,Kresten Vestbjerg Andersen,Найруулагч,1941-08-21 00:00:00,,1941
1369,Anders Juul,Жүжигчин,1980-02-16 00:00:00,,1980
1370,Hadi Ka-Koush,Жүжигчин,2001-03-19 00:00:00,,2001
1371,Laerke Winther,Жүжигчин,1985-08-05 00:00:00,,1985
1372,Keishi Ohtomo,Найруулагч,1969-07-31 00:00:00,,1969
1373,Emi Takei,Жүжигчин,1967-09-27 00:00:00,,1967
1374,Takeru Sato,Жүжигчин,1960-04-18 00:00:00,,1960
1375,Kaige Chen,Найруулагч,1949-05-25 00:00:00,,1949
1376,Xueqi Wang,Жүжигчин,1979-07-02 00:00:00,,1979
1377,Edgar Wright,Найруулагч,1977-05-23 00:00:00,,1977
1378,Michael Cera,Жүжигчин,1940-06-25 00:00:00,,1940
1379,Mary Elizabeth Winstead,Жүжигчин,1967-06-04 00:00:00,,1967
1380,Peggy Holmes,Найруулагч,1958-05-08 00:00:00,,1958
1381,Timothy Dalton,Жүжигчин,1951-03-28 00:00:00,,1951
1382,Lucy Hale,Жүжигчин,1986-05-27 00:00:00,,1986
1383,Andrew Adamso,Найруулагч,1974-09-15 00:00:00,,1974
1384,Mike Myers,Жүжигчин,1981-10-30 00:00:00,,1981
1385,Eddie Murphy,Жүжигчин,1987-02-02 00:00:00,,1987
1386,Andrew Adamson,Найруулагч,2004-10-19 00:00:00,,2004
1387,Mike Mitchell,Найруулагч,1992-12-25 00:00:00,,1992
1388,Raman Hui,Найруулагч,1980-12-10 00:00:00,,1980
1389,Lorna Cook,Найруулагч,1998-01-06 00:00:00,,1998
1390,Matt Damon,Жүжигчин,1970-10-08 00:00:00,,1970
1391,James Cromwell,Жүжигчин,1971-07-08 00:00:00,,1971
1392,Daniel Studi,Жүжигчин,2004-12-29 00:00:00,,2004
1393,Jim Mickle,Найруулагч,1990-04-03 00:00:00,,1990
1394,Connor Paolo,Жүжигчин,1982-12-16 00:00:00,,1982
1395,Nick Damici,Жүжигчин,1999-08-15 00:00:00,,1999
1396,Shinji Aramaki,Найруулагч,1973-12-30 00:00:00,,1973
1397,Leraldo Anzaldua,Жүжигчин,1987-07-26 00:00:00,,1987
1398,Luci Christian,Жүжигчин,1958-10-17 00:00:00,,1958
1399,Max Giwa,Найруулагч,2003-07-29 00:00:00,,2003
1400,Dania Pasquini,Найруулагч,1981-02-21 00:00:00,,1981
1401,Tom Conti,Жүжигчин,1991-08-12 00:00:00,,1991
1402,Sofia Boutella,Жүжигчин,1970-05-30 00:00:00,,1970
1403,Enrique Gato,Найруулагч,1997-03-17 00:00:00,,1997
1404,Meritxell Ane,Жүжигчин,1944-11-23 00:00:00,,1944
1405,Oscar Barberan,Жүжигчин,1947-07-13 00:00:00,,1947
1406,Nathan Greno,Найруулагч,1973-06-21 00:00:00,,1973
1407,Byron Howard,Найруулагч,1988-05-04 00:00:00,,1988
1408,Mandy Moore,Жүжигчин,1993-05-29 00:00:00,,1993
1409,Zachary Levi,Жүжигчин,1969-01-17 00:00:00,,1969
1410,Yoichi Mori,Найруулагч,1982-11-17 00:00:00,,1982
1411,Isshin Chiba,Жүжигчин,1976-07-03 00:00:00,,1976
1412,Darren Daniels,Жүжигчин,2003-06-18 00:00:00,,2003
1413,Kyle Hebert,Жүжигчин,1983-03-04 00:00:00,,1983
1414,Gela Babluani,Найруулагч,1967-07-06 00:00:00,,1967
1415,Sam Riley,Жүжигчин,2004-01-04 00:00:00,,2004
1416,Alice Barrett,Жүжигчин,1947-01-29 00:00:00,,1947
1417,Gaby Hoffmann,Жүжигчин,2004-12-25 00:00:00,,2004
1418,Linshan Zhao,Найруулагч,1950-03-01 00:00:00,,1950
1419,Yifei Liu,Жүжигчин,1959-01-09 00:00:00,,1959
1420,Hiroshi Tamaki,Жүжигчин,1994-03-21 00:00:00,,1994
1421,Martin Scorsese,Найруулагч,1988-06-05 00:00:00,,1988
1422,Leonardo DiCaprio,Жүжигчин,1974-11-11 00:00:00,,1974
1423,Drew Goddard,Найруулагч,2004-01-17 00:00:00,,2004
1424,Kristen Connolly,Жүжигчин,1989-07-01 00:00:00,,1989
1425,Chris Hemsworth,Жүжигчин,1982-01-16 00:00:00,,1982
1426,David Fincher,Найруулагч,1962-11-13 00:00:00,,1962
1427,Brad Pitt,Жүжигчин,1963-12-18 00:00:00,,1963
1428,Tilda Swinton,Жүжигчин,1940-04-23 00:00:00,,1940
1429,Mark Dindal,Найруулагч,1948-03-05 00:00:00,,1948
1430,David Spade,Жүжигчин,1959-08-27 00:00:00,,1959
1432,Eartha Kitt,Жүжигчин,1942-09-14 00:00:00,,1942
1433,Sylvester Stallone,Найруулагч,1973-07-16 00:00:00,,1973
1434,David R Ellis,Найруулагч,1991-04-22 00:00:00,,1991
1435,Nick Zano,Жүжигчин,2003-07-30 00:00:00,,2003
1436,Krista Allen,Жүжигчин,1972-04-27 00:00:00,,1972
1437,Andrew Fiscella,Жүжигчин,1997-10-01 00:00:00,,1997
1438,Nancy Meyers,Найруулагч,2005-01-17 00:00:00,,2005
1439,Kate Winslet,Жүжигчин,1996-09-30 00:00:00,,1996
1440,Craig T Nelson,Жүжигчин,1970-09-09 00:00:00,,1970
1441,Holly Hunter,Жүжигчин,1961-06-20 00:00:00,,1961
1442,Brad Furman,Найруулагч,2004-07-17 00:00:00,,2004
1443,Matthew McConaughey,Жүжигчин,1955-12-19 00:00:00,,1955
1444,Marisa Tomei,Жүжигчин,1967-03-01 00:00:00,,1967
1445,Ryan Phillippe,Жүжигчин,1944-11-19 00:00:00,,1944
1446,Roger Allers,Найруулагч,1992-05-20 00:00:00,,1992
1447,Rob Minkoff,Найруулагч,1982-11-21 00:00:00,,1982
1448,Darrell Rooney,Найруулагч,1945-08-06 00:00:00,,1945
1449,Rob LaDuca,Найруулагч,1954-08-25 00:00:00,,1954
1450,Neve Campbell,Жүжигчин,1976-08-29 00:00:00,,1976
1451,Andy Dick,Жүжигчин,1975-09-01 00:00:00,,1975
1452,Scott Hicks,Найруулагч,1992-12-08 00:00:00,,1992
1453,Zac Efron,Жүжигчин,1957-07-24 00:00:00,,1957
1454,Taylor Schilling,Жүжигчин,2001-01-11 00:00:00,,2001
1455,Jesse V Johnson,Найруулагч,1969-05-02 00:00:00,,1969
1456,Steve Austin,Жүжигчин,1994-04-17 00:00:00,,1994
1457,Dolph Lundgren,Жүжигчин,1955-09-25 00:00:00,,1955
1458,Eric Keenleyside,Жүжигчин,1942-06-10 00:00:00,,1942
1459,Nicholas McCarthy,Найруулагч,1943-08-20 00:00:00,,1943
1460,Caity Lotz,Жүжигчин,1964-08-06 00:00:00,,1964
1461,Casper Van Dien,Жүжигчин,2002-11-28 00:00:00,,2002
1462,Mark Steger,Жүжигчин,1943-03-19 00:00:00,,1943
1463,Roland Emmerich,Найруулагч,1964-05-08 00:00:00,,1964
1464,Joely Richardson,Жүжигчин,1947-03-19 00:00:00,,1947
1465,Chris Coppola,Жүжигчин,2001-06-26 00:00:00,,2001
1466,Hyeong-Joon Kim,Найруулагч,1984-07-27 00:00:00,,1984
